Geo Point;Geo Shape;gid;geom_o;geom_err;typologie;nombre;insee;cdate;mdate
44.8327511,-0.5916703;"{""type"": ""Point"", ""coordinates"": [-0.5916703, 44.8327511]}";1109449694;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8320909,-0.5957991;"{""type"": ""Point"", ""coordinates"": [-0.5957991, 44.8320909]}";1109449698;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8286965,-0.5700951;"{""type"": ""Point"", ""coordinates"": [-0.5700951, 44.8286965]}";1109449722;0;;;9;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.833453,-0.5950151;"{""type"": ""Point"", ""coordinates"": [-0.5950151, 44.833453]}";1109449810;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8348156,-0.5631813;"{""type"": ""Point"", ""coordinates"": [-0.5631813, 44.8348156]}";1109449856;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8264558,-0.5852372;"{""type"": ""Point"", ""coordinates"": [-0.5852372, 44.8264558]}";1109449146;0;;;9;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8331907,-0.5953211;"{""type"": ""Point"", ""coordinates"": [-0.5953211, 44.8331907]}";1109449196;0;;;6;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8369103,-0.5731062;"{""type"": ""Point"", ""coordinates"": [-0.5731062, 44.8369103]}";1109448940;0;;;8;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8441707,-0.5786864;"{""type"": ""Point"", ""coordinates"": [-0.5786864, 44.8441707]}";1109450356;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8435379,-0.5953205;"{""type"": ""Point"", ""coordinates"": [-0.5953205, 44.8435379]}";1109450400;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8398468,-0.5729174;"{""type"": ""Point"", ""coordinates"": [-0.5729174, 44.8398468]}";1109450665;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8332095,-0.5922301;"{""type"": ""Point"", ""coordinates"": [-0.5922301, 44.8332095]}";1109449882;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8309382,-0.5734361;"{""type"": ""Point"", ""coordinates"": [-0.5734361, 44.8309382]}";1109449898;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8307198,-0.6016144;"{""type"": ""Point"", ""coordinates"": [-0.6016144, 44.8307198]}";1109449970;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8269204,-0.5635709;"{""type"": ""Point"", ""coordinates"": [-0.5635709, 44.8269204]}";1109450008;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.823296,-0.5548546;"{""type"": ""Point"", ""coordinates"": [-0.5548546, 44.823296]}";1109450052;0;;;6;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8274431,-0.5763607;"{""type"": ""Point"", ""coordinates"": [-0.5763607, 44.8274431]}";1109450062;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8360538,-0.5774073;"{""type"": ""Point"", ""coordinates"": [-0.5774073, 44.8360538]}";1109450160;0;;;1;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8369057,-0.5758977;"{""type"": ""Point"", ""coordinates"": [-0.5758977, 44.8369057]}";1109450162;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8372811,-0.5760883;"{""type"": ""Point"", ""coordinates"": [-0.5760883, 44.8372811]}";1109450164;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8368314,-0.5713754;"{""type"": ""Point"", ""coordinates"": [-0.5713754, 44.8368314]}";1109450180;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8403785,-0.5719323;"{""type"": ""Point"", ""coordinates"": [-0.5719323, 44.8403785]}";1109450208;0;;;12;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8655439,-0.5525718;"{""type"": ""Point"", ""coordinates"": [-0.5525718, 44.8655439]}";1109459070;0;;;8;33063;2019-09-17T00:00:00+02:00;2019-09-17T00:00:00+02:00
44.8516793,-0.6110731;"{""type"": ""Point"", ""coordinates"": [-0.6110731, 44.8516793]}";1109522554;0;;;4;33063;2020-07-29T00:00:00+02:00;2020-07-29T00:00:00+02:00
44.8153239,-0.5726133;"{""type"": ""Point"", ""coordinates"": [-0.5726133, 44.8153239]}";1109522594;0;;;3;33063;2020-07-29T00:00:00+02:00;2020-07-29T00:00:00+02:00
44.8606802,-0.5535284;"{""type"": ""Point"", ""coordinates"": [-0.5535284, 44.8606802]}";1109567151;0;;;6;33063;2021-05-12T00:00:00+02:00;2021-05-12T00:00:00+02:00
44.8272712,-0.5884968;"{""type"": ""Point"", ""coordinates"": [-0.5884968, 44.8272712]}";1109560651;0;;;4;33063;2021-04-12T00:00:00+02:00;2021-04-12T00:00:00+02:00
44.8227927,-0.5642972;"{""type"": ""Point"", ""coordinates"": [-0.5642972, 44.8227927]}";1109560659;0;;;5;33063;2021-04-12T00:00:00+02:00;2021-04-12T00:00:00+02:00
44.8471565,-0.5631589;"{""type"": ""Point"", ""coordinates"": [-0.5631589, 44.8471565]}";1109565387;0;;;2;33063;2021-04-30T00:00:00+02:00;2021-04-30T00:00:00+02:00
44.8252982,-0.5571291;"{""type"": ""Point"", ""coordinates"": [-0.5571291, 44.8252982]}";1109565431;0;;;21;33063;2021-04-30T00:00:00+02:00;2021-04-30T00:00:00+02:00
44.8389141,-0.5881128;"{""type"": ""Point"", ""coordinates"": [-0.5881128, 44.8389141]}";1109565441;0;;;10;33063;2021-04-30T00:00:00+02:00;2021-04-30T00:00:00+02:00
44.8422306,-0.5549532;"{""type"": ""Point"", ""coordinates"": [-0.5549532, 44.8422306]}";1109542943;0;;;3;33063;2021-01-13T00:00:00+01:00;2021-01-13T00:00:00+01:00
44.8536992,-0.5550961;"{""type"": ""Point"", ""coordinates"": [-0.5550961, 44.8536992]}";1109554189;0;;;8;33063;2021-03-15T00:00:00+01:00;2021-03-15T00:00:00+01:00
44.8332123,-0.5851969;"{""type"": ""Point"", ""coordinates"": [-0.5851969, 44.8332123]}";1109566763;0;;;5;33063;2021-05-11T00:00:00+02:00;2021-05-11T00:00:00+02:00
44.8630065,-0.5567907;"{""type"": ""Point"", ""coordinates"": [-0.5567907, 44.8630065]}";1109570296;0;;;4;33063;2021-05-17T00:00:00+02:00;2021-05-17T00:00:00+02:00
44.8646525,-0.5610923;"{""type"": ""Point"", ""coordinates"": [-0.5610923, 44.8646525]}";1109570300;0;;ARCEAU_MOTO;3;33063;2021-05-17T00:00:00+02:00;2021-05-17T00:00:00+02:00
44.8422449,-0.5549305;"{""type"": ""Point"", ""coordinates"": [-0.5549305, 44.8422449]}";1109541283;0;;;3;33063;2020-12-22T00:00:00+01:00;2020-12-22T00:00:00+01:00
44.8365378,-0.6053818;"{""type"": ""Point"", ""coordinates"": [-0.6053818, 44.8365378]}";1109541285;0;;;6;33063;2020-12-22T00:00:00+01:00;2020-12-22T00:00:00+01:00
44.879717,-0.5719815;"{""type"": ""Point"", ""coordinates"": [-0.5719815, 44.879717]}";1109519576;0;;;4;33063;2020-06-29T00:00:00+02:00;2020-06-29T00:00:00+02:00
44.8331776,-0.582643;"{""type"": ""Point"", ""coordinates"": [-0.582643, 44.8331776]}";1109546675;0;;;4;33063;2021-01-25T00:00:00+01:00;2021-01-25T00:00:00+01:00
44.8278129,-0.5859948;"{""type"": ""Point"", ""coordinates"": [-0.5859948, 44.8278129]}";1109546685;0;;;3;33063;2021-01-25T00:00:00+01:00;2021-01-25T00:00:00+01:00
44.880166,-0.5706149;"{""type"": ""Point"", ""coordinates"": [-0.5706149, 44.880166]}";1108806827;0;;;3;33063;2014-04-15T00:00:00+02:00;2014-04-15T00:00:00+02:00
44.8764385,-0.5714058;"{""type"": ""Point"", ""coordinates"": [-0.5714058, 44.8764385]}";1108806907;0;;;7;33063;2014-04-15T00:00:00+02:00;2014-04-15T00:00:00+02:00
44.8382385,-0.5696049;"{""type"": ""Point"", ""coordinates"": [-0.5696049, 44.8382385]}";1109170318;0;;;8;33063;2016-01-15T00:00:00+01:00;2016-01-15T00:00:00+01:00
44.8405755,-0.5804444;"{""type"": ""Point"", ""coordinates"": [-0.5804444, 44.8405755]}";1109353407;0;;ARCEAU_MOTO;7;33063;2017-07-20T00:00:00+02:00;2017-07-20T00:00:00+02:00
44.8577423,-0.570028;"{""type"": ""Point"", ""coordinates"": [-0.570028, 44.8577423]}";1109353459;0;;;2;33063;2017-07-20T00:00:00+02:00;2017-07-20T00:00:00+02:00
44.8560433,-0.568659;"{""type"": ""Point"", ""coordinates"": [-0.568659, 44.8560433]}";1109353475;0;;;5;33063;2017-07-20T00:00:00+02:00;2017-07-20T00:00:00+02:00
44.8367719,-0.5816362;"{""type"": ""Point"", ""coordinates"": [-0.5816362, 44.8367719]}";1109165567;0;;;3;33063;2015-12-01T00:00:00+01:00;2015-12-01T00:00:00+01:00
44.8366479,-0.5837842;"{""type"": ""Point"", ""coordinates"": [-0.5837842, 44.8366479]}";1109165568;0;;;8;33063;2015-12-01T00:00:00+01:00;2015-12-01T00:00:00+01:00
